year,Hour,year_month,starttime
2020,9,2020-05,47171
2020,9,2020-06,77036
2020,9,2020-07,95767
2020,9,2020-08,96617
2020,9,2020-09,108798
2020,9,2020-10,102788
2020,9,2020-11,86052
2020,9,2020-12,55719
2020,10,2020-01,56018
2020,10,2020-02,55158
2020,10,2020-03,44728
2020,10,2020-04,25391
2020,10,2020-05,57011
2020,10,2020-06,83126
2020,10,2020-07,94498
2020,10,2020-08,99996
2020,10,2020-09,111816
2020,10,2020-10,101310
2020,10,2020-11,91545
2020,10,2020-12,56039
2020,11,2020-01,59028
2020,11,2020-02,57148
2020,11,2020-03,50410
2020,11,2020-04,33615
2020,11,2020-05,75291
2020,11,2020-06,97370
2020,11,2020-07,105905
2020,11,2020-08,114722
2020,11,2020-09,129810
2020,11,2020-10,115827
2020,11,2020-11,107511
2020,11,2020-12,65138
2020,12,2020-01,67861
2020,12,2020-02,64073
2020,12,2020-03,62481
2020,12,2020-04,44695
2020,12,2020-05,96826
2020,12,2020-06,118274
2020,12,2020-07,119762
2020,12,2020-08,133988
2020,12,2020-09,152317
2020,12,2020-10,138130
2020,12,2020-11,127235
2020,12,2020-12,76940
2020,13,2020-01,70978
2020,13,2020-02,66243
2020,13,2020-03,69002
2020,13,2020-04,55279
2020,13,2020-05,117165
2020,13,2020-06,127482
2020,13,2020-07,125402
2020,13,2020-08,143760
2020,13,2020-09,164371
2020,13,2020-10,153097
2020,13,2020-11,136305
2020,13,2020-12,86031
2020,14,2020-01,74245
2020,14,2020-02,67875
2020,14,2020-03,73426
2020,14,2020-04,62720
2020,14,2020-05,132304
2020,14,2020-06,135053
2020,14,2020-07,130479
2020,14,2020-08,154110
2020,14,2020-09,175961
2020,14,2020-10,166093
2020,14,2020-11,143228
2020,14,2020-12,93323
2020,15,2020-01,79139
2020,15,2020-02,73074
2020,15,2020-03,78631
2020,15,2020-04,68842
2020,15,2020-05,142278
2020,15,2020-06,147041
2020,15,2020-07,142209
2020,15,2020-08,166802
2020,15,2020-09,190435
2020,15,2020-10,180842
2020,15,2020-11,151070
2020,15,2020-12,98253
2020,16,2020-01,90666
2020,16,2020-02,82338
2020,16,2020-03,91540
2020,16,2020-04,72925
2020,16,2020-05,150482
2020,16,2020-06,166653
2020,16,2020-07,155826
2020,16,2020-08,184256
2020,16,2020-09,209457
2020,16,2020-10,196662
2020,16,2020-11,154209
2020,16,2020-12,96339
2020,17,2020-01,122607
2020,17,2020-02,113295
2020,17,2020-03,116629
2020,17,2020-04,75989
2020,17,2020-05,157442
2020,17,2020-06,196569
2020,17,2020-07,191393
2020,17,2020-08,225935
2020,17,2020-09,254642
2020,17,2020-10,228703
2020,17,2020-11,141425
2020,17,2020-12,87934
2020,18,2020-01,112987
2020,18,2020-02,103288
2020,18,2020-03,107240
2020,18,2020-04,68306
2020,18,2020-05,149583
2020,18,2020-06,175017
2020,18,2020-07,202908
2020,18,2020-08,237825
2020,18,2020-09,253645
2020,18,2020-10,211369
2020,18,2020-11,121513
2020,18,2020-12,76043
2020,19,2020-01,76299
2020,19,2020-02,71492
2020,19,2020-03,68422
2020,19,2020-04,47738
2020,19,2020-05,117773
2020,19,2020-06,144342
2020,19,2020-07,174589
2020,19,2020-08,197479
2020,19,2020-09,178878
2020,19,2020-10,143971
2020,19,2020-11,91805
2020,19,2020-12,57269
2020,20,2020-01,50434
2020,20,2020-02,47997
2020,20,2020-03,40211
2020,20,2020-04,23955
2020,20,2020-05,68146
2020,20,2020-06,105851
2020,20,2020-07,132896
2020,20,2020-08,129611
2020,20,2020-09,108396
2020,20,2020-10,92869
2020,20,2020-11,62080
2020,20,2020-12,38075
2020,21,2020-01,34558
2020,21,2020-02,33365
2020,21,2020-03,26658
2020,21,2020-04,12919
2020,21,2020-05,36354
2020,21,2020-06,65625
2020,21,2020-07,85986
2020,21,2020-08,84576
2020,21,2020-09,73501
2020,21,2020-10,63927
2020,21,2020-11,44654
2020,21,2020-12,25848
2020,22,2020-01,24975
2020,22,2020-02,24447
2020,22,2020-03,17844
2020,22,2020-04,9424
2020,22,2020-05,24352
2020,22,2020-06,42250
2020,22,2020-07,63075
2020,22,2020-08,66535
2020,22,2020-09,59013
2020,22,2020-10,51773
2020,22,2020-11,37801
2020,22,2020-12,21792
2020,23,2020-01,16073
2020,23,2020-02,15064
2020,23,2020-03,11813
2020,23,2020-04,6605
2020,23,2020-05,16920
2020,23,2020-06,28086
2020,23,2020-07,45799
2020,23,2020-08,50359
2020,23,2020-09,45580
2020,23,2020-10,40618
2020,23,2020-11,27119
2020,23,2020-12,14348
2021,0,2021-01,8248
2021,0,2021-02,5637
2021,0,2021-03,12440
2021,0,2021-04,20603
2021,0,2021-05,39760
2021,0,2021-06,55311
2021,0,2021-07,55698
2021,0,2021-08,57187
2021,0,2021-09,56272
2021,0,2021-10,47689
2021,0,2021-11,27301
2021,0,2021-12,22466
2021,1,2021-01,5162
2021,1,2021-02,3365
2021,1,2021-03,6428
2021,1,2021-04,10766
2021,1,2021-05,21151
2021,1,2021-06,35341
2021,1,2021-07,36381
2021,1,2021-08,36864
2021,1,2021-09,35810
2021,1,2021-10,31141
