,start station name,start station latitude,start station longitude
8090781,37 Ave & 35 St,40.7531106,-73.9279917
50063627,37 St & 24 Ave,40.7701477,-73.9120938
34089373,38 Ave & 29 St,40.75473,-73.93367
44277933,38 St & 30 Ave,40.764174,-73.915839
45777382,38 St & Northern Blvd,40.752372,-73.925384
31988880,39 St & 2 Ave,40.65539977447831,-74.01062786579132
4533747,39 St & 2 Ave - Citi Bike HQ at Industry City,40.65539977447831,-74.01062786579132
64349431,4 Ave & 17 St,40.665507,-73.993037
2706010,4 Ave & 2 St,40.674613422475815,-73.98501142859459
60311960,4 Ave & 26 St,40.660079,-73.998633
68306293,4 Ave & 3 St,40.673746,-73.985649
37977609,4 Ave & 9 St,40.6705135,-73.98876585
23598463,4 Ave & E 12 St,40.732647,-73.99011
55423600,4 Ave & Shore Road Dr,40.637033,-74.022141
52153483,4 St & Grand St,40.742257,-74.035111
7961932,40 Ave & 9 St,40.75742,-73.945133
14388444,40 Ave & Crescent St,40.7535992020056,-73.93795609474182
63038727,41 St & 3 Ave,40.652512,-74.008906
67585699,41 St & 4 Ave,40.651354,-74.007168
55839641,42 Pl & Northern Blvd,40.753091,-73.920603
52760250,42 St & 1 Ave,40.654798,-74.014372
68853347,43 St & 23 Ave,40.769673,-73.906018
63445740,43 St & 35 Ave,40.754139,-73.919543
59023835,43 St & 37 Ave,40.750181,-73.919998
18566077,43 St & Broadway,40.7577284,-73.9166368
58283232,44 Dr & 21 St,40.748,-73.9460927
58909706,44 Dr & Jackson Ave,40.74718234,-73.9432635
64179246,44 St & 2 Ave,40.652502,-74.013587
57702088,44 St & 3 Ave,40.651173,-74.011405
57387170,44 St & 6 Ave,40.647105,-74.004483
50098277,4455.10,40.68825516598005,-73.99545192718506
65348680,45 Ave & 21 St,40.74737075646803,-73.94777297973631
14196301,45 Rd & 11 St,40.74708586,-73.94977234
49588318,45 St & 4 Ave,40.649145,-74.009486
66051136,46 Ave & 5 St,40.74731,-73.95451
64772805,46 St & 25 Ave,40.765753,-73.90676
45242389,46 St & 28 Ave,40.763328,-73.908782
58303151,46 St & 30 Rd,40.76072,-73.910989
53880707,46 St & 6 Ave,40.645921,-74.005708
58829455,46 St & 7 Ave,40.644743,-74.003754
21880633,47 Ave & 31 St,40.743,-73.93561
6699569,47 Ave & Skillman Ave,40.7437524099784,-73.94176483154297
55571025,47 St & 3 Ave,40.649143,-74.012384
2113439,48 Ave & 30 Pl,40.74128309355993,-73.93725872039794
67633834,48 Ave & 31 St,40.74133,-73.93616
15872972,48 Ave & 5 St,40.74436328706688,-73.9558732509613
65604028,48 St & 2 Ave,40.650176,-74.015606
46959883,48 St & 37 Ave,40.751555,-73.915026
65677525,48 St & 5 Ave,40.646351,-74.009271
52269183,48 St & Broadway,40.755763,-73.912715
49144406,49 Ave & 21 St,40.74252,-73.948852
53388457,49 St & 25 Ave,40.764496,-73.904632
49809557,49 St & 31 Ave,40.758057,-73.909831
34989931,5 Av & W 139 St,40.815484,-73.935856
63286238,5 Ave & 3 St,40.6728155,-73.98352355
51905844,5 Ave & 37 St,40.652657,-74.002356
48576789,5 Ave & 41 St,40.649983,-74.005144
67751202,5 Ave & 66 St,40.635679,-74.020005
44807252,5 Ave & 67 St,40.635679,-74.020005
17639766,5 Ave & E 103 St,40.7922553,-73.95249933
24505585,5 Ave & E 126 St,40.80698,-73.941747
46152263,5 Ave & E 135 St,40.812191,-73.937838
3484789,5 Ave & E 29 St,40.7451677,-73.98683077
4298507,5 Ave & E 63 St,40.766368,-73.971518
55539067,5 Ave & E 72 St,40.77282817,-73.96685276
3932115,5 Ave & E 73 St,40.77282817,-73.96685276
11578316,5 Ave & E 78 St,40.77632142182271,-73.96427392959595
53636630,5 Ave & E 87 St,40.782323,-73.959875
13221957,5 Ave & E 88 St,40.78307,-73.95939
20169790,5 Ave & E 93 St,40.7857851,-73.957481
